,"Item","Description","Type","Cost","Price","Sales Tax Code","Quantity On Hand","Quantity On Sales Order","Reorder Pt (Min)","Quantity On Purchase Order","Preferred Vendor"
,"MezIO:Miokit-G4P-Nuvo7000EP","Miokit-G4P-Nuvo7000EP..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-7000E/P_G4 Back Panel and S...","Inventory Part",171.00,174.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo7000LP","Miokit-G4P-Nuvo7000LP..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-7000LP_G4 Back Panel and Sc...","Inventory Part",171.00,174.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo7160GC","Miokit-G4P-Nuvo7160GC..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-7160GC_G4 Back Panel and Sc...","Inventory Part",176.00,180.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo9000DE","Miokit-G4P-Nuvo9000DE..MezIO kits, including MezIO-G4P, Nuvo-9000DE_G4 Back Panel, and Screw. Et...","Inventory Part",176.00,180.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo9000EP","Miokit-G4P-Nuvo9000EP..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-9000E/P_G4 Back Panel and S...","Inventory Part",152.00,155.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo9000LP","Miokit-G4P-Nuvo9000LP..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-9000LP_G4 Back Panel and Sc...","Inventory Part",171.00,174.00,"Tax",2,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-G4P-Nuvo9160GC","Miokit-G4P-Nuvo9160GC..MezIO-G4P kits, 4x PoE+ ports, including Nuvo-9160GC_G4 Back Panel and Sc...","Inventory Part",176.00,180.00,"Tax",5,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-KS1-POC","Miokit-KS1-POC..MezIO-KS1 kits, one RJ45 connector w/i226, three SDP (PPS in, PPS out, 10MHz) wi...","Inventory Part",195.00,275.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-R11-POC-O","Miokit-R11-POC-O..MezIO-R11 for 1x 2.5” SATA HDD/SSD, with Screw and without Back Panel for POC-...","Inventory Part",31.00,32.00,"Tax",2,20,"",20,"Neousys Technology Incorp."
,"MezIO:Miokit-R12-POC300","Miokit-R12-POC300..1x 2.5” SATA HDD/SSD, 4-CH isolated DI, 4-CH isolated DO, including POC-300 s...","Inventory Part",87.00,89.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo7000DE","Miokit-U3_4-Nuvo7000DE..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-7000DE_U4 Back Panel a...","Inventory Part",93.00,95.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo7000EP","Miokit-U3_4-Nuvo7000EP..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-7000E/P_U4 Back Panel ...","Inventory Part",88.00,90.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo7160GC","Miokit-U3_4-Nuvo7160GC..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-7160GC_U4 Back Panel a...","Inventory Part",93.00,95.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo9000DE","Miokit-U3_4-Nuvo9000DE..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-9000DE_U4 Back Panel a...","Inventory Part",93.00,95.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo9000EP","Miokit-U3_4-Nuvo9000EP..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-9000EP_U4 Back Panel a...","Inventory Part",88.00,90.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo9000LP","MMiokit-U3_4-Nuvo9000LP..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-9000LP_U4 Back Panel ...","Inventory Part",88.00,90.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-Nuvo9160GC","Miokit-U3_4-Nuvo9160GC..MezIO-U4-50 kits, 4x USB3.0 ports, including Nuvo-9160GC_U4 Back Panel a...","Inventory Part",93.00,95.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-POC300","Miokit-U3_4-POC300..MezIO-U4-30 kits, 4x USB3.0 ports, including POC-300 series Back Panel and S...","Inventory Part",88.00,90.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-POC400","Miokit-U3_4-POC400..MezIO-U4-30 kits, 4x USB3.0 ports, including POC-400 series Back Panel, and ...","Inventory Part",88.00,90.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-U3_4-POC700","Miokit-U3_4-POC700..MezIO-U4-30 kits, 4x USB3.0 ports, including POC-700 series Back Panel, and ...","Inventory Part",88.00,90.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-V20-Nuvo-LP","Miokit-V20-Nuvo-LP..MezIO-V20 16-mode ignition power control for in-vehicle usage, 1x mini-PCIe ...","Inventory Part",44.00,45.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-V20-POC-O","Miokit-V20-POC-O..MezIO-V20 kits, 16-mode ignition power control for in-vehicle usage, 1x mini-P...","Inventory Part",44.00,45.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"MezIO:Miokit-V20_EP-Nuvo-O","Miokit-V20_EP-Nuvo-O..MezIO-V20-EP supports Ignition power control function for in-vehicle usage...","Inventory Part",39.00,40.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts","Parts","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Motherboard- Parts:MB-GENOAD8X-2T/BCM-601","MB-GENOAD8X-2T/BCM-601..EEB Server Motherboard Single Socket SP5 (LGA 6096) AMD EPYC™ 9004 Serie...","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Motherboard- Parts:MB-GENOAD8X-2T/BCM-9254-SSD-601","MB-GENOAD8X-2T/BCM-9254-SSD-601..EEB Server Motherboard Single Socket SP5 (LGA 6096) AMD EPYC™ 9...","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Motherboard- Parts:MB-GENOAD8X-2T/BCM-9534-SSD-601","MB-GENOAD8X-2T/BCM-9534-SSD-601..EEB Server Motherboard Single Socket SP5 (LGA 6096) AMD EPYC™ 9...","Inventory Part",0.00,0.00,"Tax",6,16,"",0,
,"Motherboard- Parts:Nuvo-1003B-MB","Service Kit, with Nuvo-1003B motherboard, thermal pad and TIM","Inventory Part",176.00,235.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-2021+-MB","Service Kit, with Nuvo-2021+ motherboard, thermal pad and TIM","Inventory Part",139.00,198.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-2500-MB","Service Kit, with Nuvo-2500 motherboard, thermal pad and TIM","Inventory Part",210.00,265.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-2500P-MB","Nuvo-2500P-MB..Service Kit, with Nuvo-2500 motherboard, thermal pad and TIM.","Inventory Part",210.00,265.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-2510VTC-MB","Nuvo-2510VTC-MB..Service Kit, with Nuvo-2510VTC motherboard, thermal pad and TIM. Industrial Com...","Inventory Part",144.00,180.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-3003E-MB","Service Kit, with Nuvo-3003E motherboard, thermal pad and TIM.","Inventory Part",195.00,260.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-3005LP-MB","Service Kit, with Nuvo-3005LP motherboard, thermal pad and TIM","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Motherboard- Parts:Nuvo-3005LP-PoE-MB","Service Kit, with Nuvo-3005LP-PoE-DIO motherboard, thermal pad and TIM.","Inventory Part",235.00,335.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-3005P-MB","Service Kit, with Nuvo-3005P motherboard, thermal pad and TIM","Inventory Part",218.00,290.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-3608VR-MB","Service Kit, with Nuvo-3608VR motherboard, thermal pad and TIM","Inventory Part",344.00,430.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-5002LP-MB","Service Kit, with Nuvo-5002LP motherboard, thermal pad and TIM.","Inventory Part",176.00,235.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-5006E-MB","Nuvo-5006E motherboard, thermal pad and TIM.","Inventory Part",252.00,315.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-5006LP-PoE-MB","Service Kit, with Nuvo-5006LP-PoE motherboard, thermal pad and TIM.","Inventory Part",233.00,310.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-5095GC-MB","Service Kit, with Nuvo-5095GC motherboard, thermal pad and TIM","Inventory Part",240.00,320.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-6032-MB","Service Kit, with Nuvo-6032 motherboard, thermal pad and TIM","Inventory Part",176.00,235.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:Nuvo-6108GC-MB","Service Kit, with Nuvo-6108GC motherboard, thermal pad and TIM","Inventory Part",285.00,380.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Motherboard- Parts:POC-212-MB","POC-212-MB..POC-212 motherboard with thermal pad and TIM. Industrial Computer Accessory.","Inventory Part",155.00,185.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit","DINRAIL or Wall Mount Mounting Kit","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Mounting Kit:Brkt-DINRAIL-8108_XL","Brkt-DINRAIL-8108_XL..Nuvo-8108GC and Nuvo-8108GC-XL DIN Rail Bracket. Industrial Computer Acces...","Inventory Part",23.00,28.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Damping Bracket-A","[Use New AP/MN# Dmpbr-Nuvo5000_7000] Damping bracket assembly for Nuvo-5000/7000 series","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-1000","[Use New AP/MN# DIURNAL-O] Mounting kit, Din Rail for Nuvo-1000 series","Inventory Part",20.00,28.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-2000","[Use New AP/MN# DIURNAL-E] Mounting kit, Din Rail for Nuvo-2000+ series","Inventory Part",20.00,28.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-2400","[Use New AP/MN# DIURNAL-E]  Mounting kit, Din Rail for Nuvo-2400 series","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-25","DINRAIL-25..DIN-Rail mounting assembly for Nuvo-2500/2510 series. Industrial Computer Accessory.","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-2500","[Use New AP/MN# DINRAIL-25] Mounting kit, Din Rail for Nuvo-2500 series","Inventory Part",14.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-3000","[Use New AP/MN# DIURNAL-O] Mounting kit, Din Rail for Nuvo-3000 series","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-31","DINRAIL-31..DIN-Rail mounting assembly for Nuvo-5501/7501/7531 series. Industrial Computer Acces...","Inventory Part",16.00,20.00,"Tax",27,7,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-4000","[Use New AP/MN# DIURNAL-E]  Mounting kit, Din Rail for Nuvo-4000 series","Inventory Part",20.00,28.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-5000","[Use New AP/MN# DIURNAL-O] Mounting kit, Din Rail for Nuvo-5000 series","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-5501","[Use New P/N# DINRAIL-31] Mounting kit, Din Rail for Nuvo-5501 Series","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-7000","[Use New P/N# DINRAIL-O] Mounting kit, Din Rail for Nuvo-7000 series","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-CUST-SH","[Use New Part# DINRAIL-O-R]..Custom made DINRAIL Mounting kit for Nuvo-5000 Series with modify h...","Inventory Part",20.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-E","DINRAIL-E..DIN-Rail mounting assembly for Nuvo-2000/2400/4000/6000 series. Industrial Computer A...","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-M1","[Use New AP/MN# DIURNAL-E]  Mounting kit, Din Rail for Nuvo-6000 series","Inventory Part",7.00,9.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-N6108GC","DINRAIL-N6108GC..DINRAIL kits for Nuvo-6108GC, included DINRAIL module and Screw. Industrial Com...","Inventory Part",27.00,34.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-N8108GC","DINRAIL-N8108GC..DINRAIL kits for Nuvo-8108GC, included DINRAIL module and Screw. Industrial Com...","Inventory Part",27.00,34.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-Nuvo-31xx","[Use New AP/MN# DINRAIL-31] Mounting kit, Din Rail for Nuvo-3100/3120","Inventory Part",14.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-O","DINRAIL-O..DIN RAIL Mounting assembly for Nuvo-1000/3000/5000/7000 Series. Industrial Computer A...","Inventory Part",16.00,20.00,"Tax",47,97,"",69,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-O-R","DINRAIL-O-R..Custom made DINRAIL Mounting assembly for Nuvo-5000 Series with modify hole pattern...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-P","DINRAIL-P..DIN-Rail mounting assembly for POC-120/200 series. Industrial Computer Accessory.","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-P3","DINRAIL-P3..DINRAIL mounting assembly for POC-300, included DINRAIL module and Screw AL=37mm, co...","Inventory Part",5.00,6.00,"Tax",8,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:DINRAIL-POC","[Use New P/N# DINRAIL-P] Mounting kit, Din Rail for POC-100/200 series","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Dmpbr-Nuvo3100_5501","Dmpbr-Nuvo3100_5501..Damping bracket assembly for Nuvo-3100VTC/Nuvo-5501. Industrial Computer Ac...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Dmpbr-Nuvo5000_7000","Dmpbr-Nuvo5000_7000..Damping bracket assembly for Nuvo-5000/7000 series. Industrial Computer Acc...","Inventory Part",16.00,20.00,"Tax",3,4,"",4,"Neousys Technology Incorp."
,"Mounting Kit:Dmpbr-Nuvo6108GC","Dmpbr-Nuvo6108GC..Damping bracket assembly for Nuvo-6108GC series. Industrial Computer Accessory.","Inventory Part",20.00,25.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Dmpbr-Nuvo7100VTC","Dmpbr-Nuvo7100VTC..Damping bracket assembly for Nuvo-7100VTC series. Industrial Computer Accessory.","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Dmpbr-Nuvo9160","Dmpbr-Nuvo9160..Damping bracket assembly for Nuvo-9160GC. Industrial Computer Accessory.","Inventory Part",28.00,35.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:N6108GC Damping Bracket","[Use New AP/MN# Dmpbr-Nuvo6108GC] Damping Bracket set for Nuvo-6108GC","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:RACKMOUNT-6000","[Use New AP/MN# Rmkit-Nuvo6000] Account kit for Nuvo-6000 series","Inventory Part",30.00,40.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Rmkit-Nuvo10000","Rmkit-Nuvo10000..Rack mounting assembly for Nuvo-10000 series. Industrial computer accessory.","Inventory Part",71.00,89.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Rmkit-Nuvo6000","Rack mounting assembly for Nuvo-6000 series. Industrial computer accessory.","Inventory Part",35.00,44.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Rmkit-SL","Rmkit-SL..Rack mount for single SEMIL. Industrial computer accessory.","Inventory Part",64.00,80.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wall Mount-N5608","[Use New P/N# Wmkit-H15-Nuvo-O] Nuvo-5608VR Wall Mounting Kit, two pieces are required for one s...","Inventory Part",3.00,4.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wallmount-N5000","[Use New AP/MN# Wmkit-H5.7-Nuvo-5000] Wall mounting kit for Nuvo-5000 series.","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wallmount-POC300","[Use New AP/MN# Wmkit-V-POC300] Wall mounting kit for POC-300 series.","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:WM-300H","[Use New AP/MN# Wmkit-H-POC300] Horizontal type wall mounting kit for POC-300 series.","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:WM-300V","[Use New AP/MN# Wmkit-V-POC300] Vertical type wall mounting kit for POC-300 series.","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:WM-5000","[Use New P/N# Wmkit-H5.7-Nuvo-5000] Wall mounting assembly for Nuvo-5000 series. Two pieces incl...","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:WM-5100","Nuvo-5100VTC Wall Mounting Kit,..including one bracket, 10x M4 Step Screw, and..4x Anti-vibrate ...","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:WM-5608","[Use New P/N# Wmkit-H15-Nuvo-O] Nuvo-5608VR Wall Mounting Kit, two pieces are required for one s...","Inventory Part",3.00,4.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H-Nuvo9501","Wmkit-H-Nuvo9501..Wall mounting assembly for Nuvo-9501, horizontal type. Industrial Computer Acc...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H-POC300","Wmkit-H-POC300..Wall mounting assembly for POC-300 series, horizontal type. Industrial Computer ...","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H-POC300_400","Wmkit-H-POC300_400..Wall mounting assembly for POC-300/400 series, horizontal type. Industrial C...","Inventory Part",6.00,8.00,"Tax",0,41,"",41,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H-POC500","Wmkit-H-POC500..Wall mounting assembly for POC-500 series, horizontal type. Industrial Computer ...","Inventory Part",10.00,12.00,"Tax",13,12,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H-POC764VR","Wmkit-H-POC764VR..Wall mounting assembly for POC-764VR, horizontal type. Industrial Computer Acc...","Inventory Part",10.00,12.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H10-Nuvo8108GC","Wmkit-H10-Nuvo8108GC..Wall mounting kit for Nuvo-8108GC, included wall mounting module, screw an...","Inventory Part",24.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H10-Nuvo8108GCXL","Wmkit-H10-Nuvo8108GCXL..Wall mounting kit for Nuvo-8108GC-XL, included wall mounting module, scr...","Inventory Part",24.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H15-Nuvo-O","Wmkit-H15-Nuvo-O..Wall mounting kit for Nuvis-5306, Nuvo-5026/5095/5608, include wall mounting m...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H25-Nuvo-7160","Wmkit-H25-Nuvo-7160..Wall mounting kit for Nuvo-7160 series, include wall mounting module and Sc...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H37.5-Nuvo-8208GC","Wmkit-H37.5-Nuvo-8208GC..Wall mounting kit for Nuvo-8208GC, included wall mounting module, screw...","Inventory Part",30.00,37.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H5.7-Nuvo-5000","Wmkit-H5.7-Nuvo-5000..Wall mounting kit for Nuvo-5000E/P/LP series, include wall mounting module...","Inventory Part",7.00,9.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-H5.7-Nuvo-O","Wmkit-H5.7-Nuvo-O..Wall mounting kit for Nuvo-7000, included wall mounting module and Screw, H=5...","Inventory Part",7.00,9.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-NRU-50","Wmkit-NRU-50..Wall mounting kit for NRU-50 series, including wall mounting brackets and screws. ...","Inventory Part",10.00,12.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo-2600","Wmkit-Nuvo-2600..Wall mounting kit for Nuvo-2600 series, including wall mount brackets and screw...","Inventory Part",16.00,20.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo-6108GC","Wmkit-Nuvo-6108GC..Wall mounting bracket for Nuvo-6108GC series, included wall mounting module, ...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo-7200VTC","Wmkit-Nuvo-7200VTC..Wall mounting kit for Nuvo-7200VTC, included wall mounting module, screw. In...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo-7531","Wmkit-Nuvo-7531..Wall mounting kit for Nuvo-7531, included wall mounting module, screw. Industri...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo-9531-FT","Wmkit-Nuvo-9531-FT..Wall mounting assembly for Nuvo-9531-FT. Industrial Computer Accessory.","Inventory Part",8.00,10.00,"Tax",0,1,"",1,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo2822","Wmkit-Nuvo2822..Wall mounting assembly for Nuvo-2822. Industrial Computer Accessory.","Inventory Part",13.00,16.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-Nuvo9650AWP","Wmkit-Nuvo9650AWP..Wall mounting assembly for Nuvo-9650AWP. Industrial Computer Accessory.","Inventory Part",20.00,25.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-POC465AWP","Wmkit-POC465AWP..Wall mounting assembly for POC-465AWP, include wall mounting module and Screw. ...","Inventory Part",10.00,12.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-V-Nuvo2700DS","Wmkit-V-Nuvo2700DS..Wall mounting assembly for Nuvo-2700DS series, vertical type. Industrial com...","Inventory Part",12.00,15.00,"Tax",0,5,"",5,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-V-PB9250J","Wmkit-V-PB9250J..Wall mounting assembly for PB-9250J-SA series, vertical type. Industrial Comput...","Inventory Part",5.00,6.00,"Tax",9,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-V-POC300","[Use New AP/MN# Wmkit-V-POC300_400] ..Wall mounting assembly for POC-300 and POC-400 series, ver...","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-V-POC300_400","Wmkit-V-POC300_400..Wall mounting assembly for POC-300/400 series, vertical type. Industrial Com...","Inventory Part",6.00,8.00,"Tax",5,32,"",30,"Neousys Technology Incorp."
,"Mounting Kit:Wmkit-V-POC500","Wmkit-V-POC500..Wall mounting assembly for POC-500 series, vertical type. Industrial Computer Ac...","Inventory Part",6.00,8.00,"Tax",3,0,"",0,"Neousys Technology Incorp."
,"NRU Series","NRU Series products and optional items","Inventory Part",0.00,0.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H120","AC-AR0147-H120..Camera SG1-AR0147RGB-0101-GMSL-H120, 1280*720 @30fps, IP67, LFM, HFOV 125. Male ...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H120-2203","AC-AR0147-H120-2203..GMSL 1MP CMOS 1/4"" Camera, Sensor: OnSemi AR0147, ISP: OnSemi AP0101, 1280H...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H190","AC-AR0147-H190..On Semi AR0147 CMOS sensor camera; 1280x720 @30fps; LFM; HFOV 197, IP67; male FA...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H190-2203","AC-AR0147-H190-2203..GMSL 1MP CMOS 1/4"" Camera, Sensor: OnSemi AR0147, ISP: OnSemi AP0101, 1280H...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H40","AC-AR0147-H40..On Semi AR0147 CMOS sensor camera; 1280x720 @30fps; LFM; HFOV 41, IP67; male FAKR...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H40-2203","AC-AR0147-H40-2203..GMSL 1MP CMOS 1/4"" Camera, Sensor: OnSemi AR0147, ISP: OnSemi AP0101, 1280H ...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"NRU Series:AC-AR0147-H60","AC-AR0147-H60..On Semi AR0147 CMOS sensor camera;..1280x720 @30fps; LFM; HFOV 59, IP67; male FAK...","Inventory Part",244.00,305.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
